Trajectories,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
,,5 Marker Wand & L-Frame:Top2,,,5 Marker Wand & L-Frame:Top3,,,5 Marker Wand & L-Frame:Mid,,,5 Marker Wand & L-Frame:Bottom2,,,5 Marker Wand & L-Frame:Bottom3,,,| 5 Marker Wand & L-Frame:Top2 |,| 5 Marker Wand & L-Frame:Top3 |,| 5 Marker Wand & L-Frame:Mid |,| 5 Marker Wand & L-Frame:Bottom2 |,| 5 Marker Wand & L-Frame:Bottom3 |,Trajectory Count
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Count
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
30,0,-109.834,511.7,869.159,-386.671,347.983,870.616,-392.775,353.772,671.329,-128.183,536.533,269.45,-403.64,370.816,268.493,1014.56,1014.19,854.464,613.923,610.343,5
31,0,-109.804,511.807,869.16,-386.593,348.071,870.621,-392.739,353.841,671.328,-128.141,536.59,269.468,-403.634,370.823,268.501,1014.61,1014.19,854.475,613.972,610.347,5
32,0,-109.721,511.904,869.136,-386.542,348.142,870.639,-392.674,353.911,671.362,-128.116,536.598,269.444,-403.626,370.832,268.536,1014.63,1014.21,854.502,613.964,610.362,5
33,0,-109.657,511.972,869.107,-386.425,348.238,870.677,-392.639,353.969,671.367,-128.107,536.657,269.395,-403.577,370.89,268.537,1014.64,1014.23,854.514,613.992,610.365,5
34,0,-109.59,512.072,869.101,-386.364,348.335,870.676,-392.56,354.031,671.403,-128.065,536.656,269.402,-403.552,370.894,268.561,1014.67,1014.24,854.531,613.986,610.362,5
35,0,-109.516,512.185,869.078,-386.296,348.412,870.717,-392.538,354.081,671.415,-128.066,536.671,269.37,-403.55,370.895,268.56,1014.7,1014.28,854.551,613.984,610.361,5
36,0,-109.458,512.26,869.05,-386.215,348.488,870.7,-392.435,354.164,671.449,-128.024,536.718,269.369,-403.512,370.951,268.608,1014.71,1014.26,854.565,614.016,610.391,5
37,0,-109.402,512.353,869.047,-386.145,348.549,870.711,-392.376,354.232,671.493,-128.037,536.748,269.342,-403.522,370.955,268.623,1014.75,1014.26,854.6,614.033,610.406,5
38,0,-109.307,512.452,869.025,-386.058,348.665,870.764,-392.337,354.289,671.505,-127.987,536.807,269.32,-403.493,370.957,268.607,1014.77,1014.32,854.616,614.065,610.382,5
39,0,-109.255,512.526,868.998,-385.998,348.748,870.75,-392.247,354.363,671.541,-127.962,536.808,269.304,-403.471,370.981,268.653,1014.78,1014.31,854.633,614.053,610.402,5
40,0,-109.151,512.614,868.985,-385.883,348.831,870.792,-392.214,354.414,671.537,-127.925,536.851,269.298,-403.459,371,268.66,1014.8,1014.33,854.637,614.081,610.409,5
41,0,-109.1,512.68,868.982,-385.82,348.886,870.806,-392.128,354.473,671.561,-127.908,536.872,269.26,-403.432,371.064,268.658,1014.83,1014.34,854.64,614.079,610.429,5
42,0,-109.026,512.753,868.933,-385.734,348.965,870.828,-392.071,354.551,671.584,-127.865,536.882,269.261,-403.39,371.059,268.681,1014.81,1014.35,854.664,614.079,610.408,5
